State,Actual.Reock.Original,Algo.Reock.Original,Actual.Reock.Clipped,Algo.Reock.Clipped,Actual.Reock.Overall,Algo.Reock.Overall,Actual.Reock.Overall.Clipped,Algo.Reock.Overall.Clipped
AZ,0.39703,0.52583,0.39702,0.52578,0.64866,0.6487,0.64864,0.64864
CA,0.34625,0.26637,0.33204,0.26624,0.30405,0.29595,0.29577,0.29577
CT,0.43597,0.50309,0.43597,0.47415,0.40219,0.43518,0.40219,0.40219
FL,0.46675,0.32513,0.4277,0.32528,0.24927,0.22215,0.22246,0.22246
GA,0.4528,0.46625,0.45279,0.46688,0.52103,0.52109,0.52101,0.52101
MA,0.34002,0.40435,0.30312,0.40427,0.27608,0.22005,0.21999,0.21999
MD,0.32682,0.33549,0.30895,0.33541,0.19568,0.16082,0.16076,0.16076
MI,0.37816,0.40577,0.38557,0.40544,0.46521,0.28062,0.28056,0.28056
MN,0.4018,0.41704,0.39904,0.417,0.45517,0.44247,0.44242,0.44242
NC,0.41814,0.44639,0.41814,0.44634,0.222,0.22203,0.222,0.222
NH,0.31946,0.42081,0.32002,0.42068,0.40046,0.40274,0.40259,0.40259
NJ,0.36034,0.46706,0.34545,0.4669,0.455,0.45352,0.45339,0.45339
NV,0.42988,0.4567,0.42988,0.45664,0.49032,0.49033,0.49032,0.49032
OH,0.39383,0.39837,0.39383,0.39828,0.54676,0.54685,0.54676,0.54676
OR,0.40879,0.49757,0.40786,0.49754,0.48119,0.48418,0.48416,0.48416
PA,0.4158,0.4642,0.41579,0.46413,0.4236,0.42364,0.4236,0.4236
SC,0.36348,0.49287,0.35749,0.49284,0.42457,0.42054,0.42053,0.42053
TX,0.32336,0.36306,0.32336,0.36303,0.48829,0.48834,0.48829,0.48829
VA,0.37906,0.38159,0.37906,0.38157,0.19437,0.19441,0.19437,0.19437
WI,0.38104,0.45238,0.41732,0.45236,0.53079,0.53532,0.53529,0.53529
